ticker,name,sector,industry,weight,change
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0.1,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,0.1,
BDX,Becton Dickinson,Health Care,Health Care Equipment,0.1,
RMD,ResMed,Health Care,Health Care Equipment,0.1,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0.1,
GEHC,GE HealthCare,Health Care,Health Care Equipment,0.1,
WAT,Waters,Health Care,Life Sciences Tools & Services,0.1,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0.1,
BIIB,Biogen,Health Care,Biotechnology,0.1,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0.04,
DXCM,Dexcom,Health Care,Health Care Equipment,0.04,
LH,LabCorp,Health Care,Health Care Services,0.04,
DGX,Quest Diagnostics,Health Care,Health Care Services,0.04,
STE,Steris,Health Care,Health Care Equipment,0.04,
HUM,Humana,Health Care,Managed Health Care,0.03,
MRNA,Moderna,Health Care,Biotechnology,0.03,
INCY,Incyte,Health Care,Biotechnology,0.03,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0.03,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0.03,
Hologic,Hologic,Health Care,Other,0.03,
CNC,Centene,Health Care,Managed Health Care,0.03,
VTRS,Viatris,Health Care,Pharmaceuticals,0.03,
PODD,Insulet,Health Care,Health Care Equipment,0.03,
COO,Cooper Companies,Health Care,Health Care Supplies,0.02,
ALGN,Align Technology,Health Care,Health Care Supplies,0.02,
UHS,Universal Health Services,Health Care,Health Care Facilities,0.02,
SOLV,Solventum,Health Care,Health Care Technology,0.02,
DVA,DaVita,Health Care,Health Care Services,0.02,
RVTY,Revvity,Health Care,Health Care Equipment,0.02,
HSIC,Henry Schein,Health Care,Health Care Distributors,0.01,
BAX,Baxter International,Health Care,Health Care Equipment,0.01,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,0.01,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0.01,
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Transportation Equipment,0.5,
GE,GE Aerospace,Industrials,Aerospace & Defense,0.5,
RTX,RTX,Industrials,Aerospace & Defense,0.4,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,0.4,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0.3,
BA,Boeing,Industrials,Aerospace & Defense,0.3,
UBER,Uber,Industrials,Passenger Ground Transportation,0.3,
HON,Honeywell,Industrials,Industrial Conglomerates,0.3,
UNP,Union Pacific,Industrials,Rail Transportation,0.3,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0.2,
ETN,Eaton,Industrials,Electrical Components & Equipment,0.2,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,0.2,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,0.2,
WM,Waste Management,Industrials,Environmental & Facilities Services,0.2,
GD,General Dynamics,Industrials,Aerospace & Defense,0.2,
Vertiv Holdings Co,Vertiv Holdings Co,Industrials,Other,0.2,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0.2,
TT,Trane Technologies,Industrials,Building Products,0.2,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0.1,
FDX,FedEx,Industrials,Air Freight & Logistics,0.1,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0.1,
