ticker,name,sector,industry,weight,return_1d,return_ytd,return_1y,return_5y,return_10y
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.1,1.6344,-4.4258,80.2085,60.1295,162.6110
TPR,"Tapestry,",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,-0.9368,21.1583,146.1115,302.7078,404.3835
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,0.1,-0.5447,-4.2500,38.1201,-37.4311,74.4695
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,0.04,-0.6998,-10.2281,-9.3552,34.1252,189.4047
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0.04,0.7162,11.7226,4.2392,66.8936,327.3379
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,0.04,1.5189,-7.1478,57.0273,77.2465,174.8092
PHM,PulteGroup,Consumer Discretionary,Homebuilding,0.04,0.8852,9.0928,35.5151,155.0640,649.5179
WSM,Williams-Sonoma,Consumer Discretionary,Homefurnishing Retail,0.04,-0.1359,11.8980,44.6198,160.2015,753.0756
LEN,Lennar,Consumer Discretionary,Homebuilding,0.04,0.5927,-8.7971,-9.2848,3.4326,126.3088
RL,Ralph Lauren,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.03,-0.1990,9.4905,89.1658,258.6920,396.3377
NVR,"NVR,",Consumer Discretionary,Homebuilding,0.03,0.9849,-3.0564,-1.6717,44.1002,304.6866
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.03,-0.5739,-19.9653,-33.7582,-47.4153,147.7581
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,0.03,-0.8329,-7.3879,2.1717,8.7279,56.3320
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0.02,1.2078,-20.6990,16.6894,-55.3169,-1.8195
DECK,Deckers Brands,Consumer Discretionary,Footwear,0.02,-1.7733,6.5930,4.5756,102.2358,1036.1034
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0.02,0.9432,0.6428,13.1042,-30.0329,186.1262
HAS,Hasbro,Consumer Discretionary,Leisure Products,0.02,-1.3073,17.7330,88.6317,20.9897,54.8193
DPZ,Domino's,Consumer Discretionary,Restaurants,0.02,-0.3951,-10.6421,-19.2553,-0.5724,196.2805
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,0.02,-0.3022,-9.3348,46.9240,-7.7265,23.8920
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,0.02,0.2073,5.9742,33.8062,-2.1717,79.6483
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.01,-4.6212,-10.3047,22.2222,-25.1589,-60.6680
POOL,Pool,Consumer Discretionary,Distributors,0.01,0.9226,1.0229,-23.5725,-36.6530,184.6307
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1.4,0.2250,-13.4006,11.4333,412.3681,1323.5749
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1,-0.2050,13.5262,52.5442,61.6537,170.8934
ABBV,AbbVie,Health Care,Biotechnology,0.7,-1.1661,-8.3858,22.9316,127.8502,414.1822
MRK,Merck & Co.,Health Care,Pharmaceuticals,0.5,-0.3695,13.5366,57.6146,85.2017,198.9053
UNH,UnitedHealth Group,Health Care,Managed Health Care,0.4,-0.8902,-1.7778,-27.1515,-11.6015,183.0006
AMGN,Amgen,Health Care,Biotechnology,0.3,-1.0160,8.1931,30.8101,58.7748,190.8686
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0.3,-0.0028,-9.0335,23.6310,10.6569,270.0078
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.3,0.0517,-21.8123,-24.5391,-11.3333,165.6606
GILD,Gilead Sciences,Health Care,Biotechnology,0.3,-0.8101,11.8627,34.0684,147.7955,94.1460
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0.3,-0.1066,-17.2417,-2.9063,73.3587,554.4604
PFE,Pfizer,Health Care,Pharmaceuticals,0.3,0.8164,13.4555,34.6062,-8.6195,36.5405
DHR,Danaher,Health Care,Life Sciences Tools & Services,0.2,-0.5083,-15.1787,4.4239,-7.5155,396.9636
